Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
-0.00228002,-0.0156679,-1.00296,0.0144501,-0.00514513,-1.50416
-0.00269573,-0.0157882,-0.998681,0.0144501,-0.00514513,-1.50416
-0.00308771,-0.015666,-0.994024,0.0144501,-0.00514513,-1.50416
-0.00381479,-0.0162488,-0.991313,0.0144501,-0.00514513,-1.50416
-0.00393605,-0.0164118,-0.990656,0.0144501,-0.00514513,-1.50416
-0.00415126,-0.0162504,-0.99152,0.0144303,-0.00505079,-1.50418
-0.00366013,-0.0161088,-0.994568,0.0144303,-0.00505079,-1.50418
-0.00331092,-0.015558,-0.998633,0.0144303,-0.00505079,-1.50418
-0.00261489,-0.0154837,-1.00208,0.0144303,-0.00505079,-1.50418
-0.00264053,-0.0149991,-1.00401,0.0144303,-0.00505079,-1.50418
-0.0026615,-0.0144231,-1.00354,0.0143979,-0.00515512,-1.50418
-0.00310495,-0.0141586,-1.00182,0.0143979,-0.00515512,-1.50418
-0.00384013,-0.0142452,-0.99878,0.0143979,-0.00515512,-1.50418
-0.00434923,-0.0145418,-0.995775,0.0143979,-0.00515512,-1.50418
-0.00506682,-0.0145879,-0.992698,0.0143979,-0.00515512,-1.50418
-0.00544688,-0.0146835,-0.990892,0.0144242,-0.00512118,-1.50419
-0.00560675,-0.0146705,-0.990733,0.0144242,-0.00512118,-1.50419
-0.00522704,-0.0146241,-0.992506,0.0144242,-0.00512118,-1.50419
-0.0046724,-0.0149575,-0.995436,0.0144242,-0.00512118,-1.50419
-0.00385524,-0.0150927,-0.998296,0.0144242,-0.00512118,-1.50419
-0.00387793,-0.014662,-1.00054,0.0144656,-0.00509591,-1.50421
-0.00336606,-0.0142671,-1.00184,0.0144656,-0.00509591,-1.50421
-0.00323794,-0.0144649,-1.0024,0.0144656,-0.00509591,-1.50421
-0.00360189,-0.0145739,-1.0017,0.0144656,-0.00509591,-1.50421
-0.00414837,-0.0145367,-1.00022,0.0144656,-0.00509591,-1.50421
-0.00503509,-0.0145013,-0.998166,0.0144891,-0.00512869,-1.50422
-0.00558813,-0.014076,-0.996246,0.0144891,-0.00512869,-1.50422
-0.00554026,-0.0140938,-0.995212,0.0144891,-0.00512869,-1.50422
-0.00579819,-0.0144789,-0.995424,0.0144891,-0.00512869,-1.50422
-0.00593798,-0.0146662,-0.996515,0.0144891,-0.00512869,-1.50422
-0.00582428,-0.0144323,-0.997706,0.0144455,-0.00507669,-1.50425
-0.00507251,-0.014518,-0.998995,0.0144455,-0.00507669,-1.50425
-0.00456898,-0.0142848,-0.999693,0.0144455,-0.00507669,-1.50425
-0.00451134,-0.0142713,-1.00017,0.0144455,-0.00507669,-1.50425
-0.00430127,-0.0141256,-0.999796,0.0144455,-0.00507669,-1.50425
-0.00399623,-0.0139634,-0.998502,0.0144756,-0.00508141,-1.50425
-0.00415827,-0.0140303,-0.996842,0.0144756,-0.00508141,-1.50425
-0.00415002,-0.014518,-0.995492,0.0144756,-0.00508141,-1.50425
-0.00430772,-0.0147746,-0.994523,0.0144756,-0.00508141,-1.50425
-0.00407452,-0.0150305,-0.994029,0.0144756,-0.00508141,-1.50425
-0.00436189,-0.0149247,-0.994285,0.0145006,-0.00506123,-1.50422
-0.0037851,-0.0149359,-0.994806,0.0145006,-0.00506123,-1.50422
-0.00395288,-0.0151375,-0.996136,0.0145006,-0.00506123,-1.50422
-0.00416642,-0.0155692,-0.998238,0.0145006,-0.00506123,-1.50422
