Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
-0.000594006,-0.0138115,-0.996915,0.0106201,-0.00280663,-1.47153
-0.000748562,-0.0140273,-0.998434,0.0106201,-0.00280663,-1.47153
-0.000972519,-0.014468,-0.999583,0.0105782,-0.00279852,-1.47157
-0.00131235,-0.0141223,-1.00021,0.0105782,-0.00279852,-1.47157
-0.0015241,-0.014042,-1.00027,0.0105782,-0.00279852,-1.47157
-0.00189373,-0.0142462,-0.999898,0.0105782,-0.00279852,-1.47157
-0.00286403,-0.0146047,-0.999398,0.0105782,-0.00279852,-1.47157
-0.00305568,-0.0150584,-0.998405,0.0105623,-0.00281586,-1.47158
-0.00270296,-0.0151443,-0.997617,0.0105623,-0.00281586,-1.47158
-0.00199699,-0.0148865,-0.997284,0.0105623,-0.00281586,-1.47158
-0.0017045,-0.01496,-0.997776,0.0105623,-0.00281586,-1.47158
-0.00140005,-0.0146826,-0.998214,0.0105623,-0.00281586,-1.47158
-0.00117761,-0.014803,-0.999033,0.0105688,-0.002834,-1.47157
-0.00122665,-0.014675,-0.99963,0.0105688,-0.002834,-1.47157
-0.00110299,-0.0142062,-0.999742,0.0105688,-0.002834,-1.47157
-0.00132192,-0.0139676,-0.999284,0.0105688,-0.002834,-1.47157
-0.0020563,-0.0142255,-0.998819,0.0105688,-0.002834,-1.47157
-0.00216694,-0.0142672,-0.998054,0.0105427,-0.00286462,-1.47162
-0.00242631,-0.0139959,-0.99761,0.0105427,-0.00286462,-1.47162
-0.00274974,-0.0141157,-0.997432,0.0105427,-0.00286462,-1.47162
-0.00265339,-0.0139496,-0.997597,0.0105427,-0.00286462,-1.47162
-0.00229061,-0.0138094,-0.997324,0.0105427,-0.00286462,-1.47162
-0.00217201,-0.0137674,-0.998097,0.0105624,-0.00286427,-1.47164
-0.00234566,-0.0138063,-0.999359,0.0105624,-0.00286427,-1.47164
-0.00203866,-0.0134239,-0.999649,0.0105624,-0.00286427,-1.47164
-0.00172764,-0.0134657,-1.00003,0.0105624,-0.00286427,-1.47164
-0.00158984,-0.0134149,-1.00008,0.0105624,-0.00286427,-1.47164
-0.00154886,-0.0135597,-0.999438,0.0105962,-0.002833,-1.47162
-0.00145239,-0.0136701,-0.998924,0.0105962,-0.002833,-1.47162
-0.00163592,-0.013704,-0.998166,0.0105962,-0.002833,-1.47162
-0.00166697,-0.0136587,-0.996998,0.0105962,-0.002833,-1.47162
-0.00171076,-0.0138839,-0.996572,0.0105962,-0.002833,-1.47162
-0.00198701,-0.0139855,-0.996527,0.0105607,-0.00283142,-1.47157
-0.00217522,-0.0140692,-0.996557,0.0105607,-0.00283142,-1.47157
-0.00221506,-0.0139713,-0.996563,0.0105607,-0.00283142,-1.47157
-0.00223392,-0.0137478,-0.996848,0.0105607,-0.00283142,-1.47157
