Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
0.00275568,0.0113714,-0.997066,-0.015271,0.00162455,-1.18702
0.00290337,0.0111664,-0.996867,-0.0152748,0.00161698,-1.18697
0.00305811,0.0112203,-0.996327,-0.0152748,0.00161698,-1.18697
0.00338396,0.0110177,-0.996188,-0.0152748,0.00161698,-1.18697
0.00356045,0.0107662,-0.996203,-0.0152748,0.00161698,-1.18697
0.00367406,0.0103948,-0.996571,-0.0152748,0.00161698,-1.18697
0.0040377,0.0104001,-0.99671,-0.0152872,0.00159173,-1.18697
0.00373025,0.0105328,-0.997236,-0.0152872,0.00159173,-1.18697
0.00343938,0.01055,-0.997649,-0.0152872,0.00159173,-1.18697
0.00308755,0.0104904,-0.997773,-0.0152872,0.00159173,-1.18697
0.00315177,0.0107904,-0.99745,-0.0152872,0.00159173,-1.18697
0.00348774,0.0109926,-0.996839,-0.0152713,0.00165769,-1.18707
0.0039234,0.0112733,-0.996633,-0.0152713,0.00165769,-1.18707
0.00386866,0.0113784,-0.996556,-0.0152713,0.00165769,-1.18707
0.00382036,0.011857,-0.996204,-0.0152713,0.00165769,-1.18707
0.00419153,0.012367,-0.996092,-0.0152713,0.00165769,-1.18707
0.00416047,0.0119439,-0.996334,-0.0152076,0.00169866,-1.18706
0.00405687,0.0121519,-0.99683,-0.0152076,0.00169866,-1.18706
0.00364151,0.0122714,-0.99696,-0.0152076,0.00169866,-1.18706
0.00325463,0.0123037,-0.997305,-0.0152076,0.00169866,-1.18706
0.00300038,0.0122254,-0.997958,-0.0152076,0.00169866,-1.18706
0.0027953,0.0122985,-0.998109,-0.0152293,0.00173329,-1.18704
0.00284733,0.0122606,-0.998397,-0.0152293,0.00173329,-1.18704
0.00344026,0.0122509,-0.998418,-0.0152293,0.00173329,-1.18704
0.00428824,0.0127842,-0.998495,-0.0152293,0.00173329,-1.18704
0.00461304,0.0124234,-0.998884,-0.0152293,0.00173329,-1.18704
0.0047561,0.0125421,-0.999148,-0.0151728,0.00173577,-1.187
0.00506759,0.0131141,-0.99873,-0.0151728,0.00173577,-1.187
0.00551438,0.0135489,-0.998397,-0.0151728,0.00173577,-1.187
0.00570703,0.0137285,-0.99812,-0.0151728,0.00173577,-1.187
0.00559584,0.0138898,-0.998026,-0.0151728,0.00173577,-1.187
