Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
-0.0106201,-0.0197763,-0.998412,0.016366,-0.00646049,-1.06346
-0.0117938,-0.0196429,-0.996647,0.0163602,-0.00645977,-1.06347
-0.00970941,-0.0157836,-0.997049,0.0163595,-0.00644771,-1.06347
-0.00963316,-0.0156506,-0.999143,0.0163545,-0.00645156,-1.06348
-0.0126367,-0.0151196,-0.9992,0.0163542,-0.00645989,-1.06348
-0.0114275,-0.0150385,-0.998521,0.0163541,-0.00646331,-1.06348
-0.0103129,-0.0158647,-1.0004,0.0163502,-0.00646079,-1.06349
-0.0104533,-0.0186921,-0.997298,0.0163507,-0.0064614,-1.06348
-0.0124872,-0.0171478,-0.997752,0.0163499,-0.00646536,-1.06348
-0.00950927,-0.0181335,-0.998672,0.0163582,-0.00646095,-1.06347
-0.0118998,-0.0202264,-0.996834,0.0163687,-0.00645615,-1.06348
-0.0108609,-0.0190617,-0.998808,0.0163737,-0.00645601,-1.06348
-0.0115283,-0.0191661,-0.997925,0.0163773,-0.00645553,-1.06349
-0.0136103,-0.0203562,-0.995349,0.0163886,-0.00645486,-1.06349
-0.00930289,-0.0178914,-0.997981,0.0163905,-0.00645095,-1.06349
-0.00977031,-0.0195574,-0.998736,0.0163952,-0.00645146,-1.0635
-0.00885283,-0.0181879,-1.00012,0.0164036,-0.00644897,-1.0635
-0.00973722,-0.0187688,-0.996785,0.0164048,-0.0064514,-1.0635
-0.00957105,-0.020058,-0.997208,0.0164035,-0.00644898,-1.0635
-0.00954956,-0.0191317,-0.999557,0.0164143,-0.00644568,-1.0635
-0.0125248,-0.0192297,-0.998788,0.0164246,-0.00644761,-1.0635
-0.0136905,-0.0197594,-0.997749,0.0164301,-0.0064496,-1.0635
-0.0135169,-0.0193623,-0.998116,0.0164367,-0.00645409,-1.0635
-0.0124312,-0.0211935,-0.998382,0.0164457,-0.00645949,-1.0635
-0.0128968,-0.0207687,-0.996964,0.0164514,-0.00646257,-1.06351
-0.0122937,-0.0211667,-0.996164,0.0164573,-0.00645933,-1.06351
-0.0122721,-0.0215398,-0.997238,0.0164634,-0.00646221,-1.0635
