Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
-0.00932685,-0.00633868,-0.995922,0.00372529,-0.0130741,-2.31245
-0.00987302,-0.00612707,-0.995613,0.00372529,-0.0130741,-2.31245
-0.00981168,-0.00557024,-0.995575,0.00372963,-0.0130535,-2.31249
-0.00902098,-0.00539355,-0.996058,0.00372963,-0.0130535,-2.31249
-0.00858824,-0.00543182,-0.997496,0.00372963,-0.0130535,-2.31249
-0.00898921,-0.00578255,-0.99805,0.00372963,-0.0130535,-2.31249
-0.00927529,-0.00597141,-0.999146,0.00372963,-0.0130535,-2.31249
-0.00936041,-0.00605472,-0.999884,0.00382123,-0.0129923,-2.31258
-0.00955941,-0.00589805,-1.00024,0.00382123,-0.0129923,-2.31258
-0.00954106,-0.00614059,-1.00051,0.00382123,-0.0129923,-2.31258
-0.00990038,-0.006494,-0.999919,0.00382123,-0.0129923,-2.31258
-0.0107179,-0.00657587,-0.999115,0.00382123,-0.0129923,-2.31258
-0.0112362,-0.00694957,-0.998287,0.00381467,-0.013001,-2.31263
-0.011129,-0.00646701,-0.997323,0.00381467,-0.013001,-2.31263
-0.0109845,-0.00575725,-0.996169,0.00381467,-0.013001,-2.31263
-0.0110037,-0.00531667,-0.996048,0.00381467,-0.013001,-2.31263
-0.0108158,-0.00474482,-0.995742,0.00381467,-0.013001,-2.31263
-0.0110065,-0.00475271,-0.995976,0.00379736,-0.0130073,-2.31269
-0.0105091,-0.00475954,-0.996397,0.00379736,-0.0130073,-2.31269
-0.0099525,-0.00420834,-0.996953,0.00379736,-0.0130073,-2.31269
-0.0093202,-0.00329933,-0.998032,0.00379736,-0.0130073,-2.31269
-0.00906033,-0.00281431,-0.998812,0.00379736,-0.0130073,-2.31269
-0.00909831,-0.00324359,-0.998438,0.00377556,-0.0129977,-2.31274
-0.009125,-0.00343451,-0.999039,0.00377556,-0.0129977,-2.31274
-0.00863774,-0.00308074,-0.998701,0.00377556,-0.0129977,-2.31274
-0.00835044,-0.0021037,-0.997908,0.00377556,-0.0129977,-2.31274
-0.00850444,-0.0022043,-0.997839,0.00377556,-0.0129977,-2.31274
-0.00916244,-0.00269392,-0.997026,0.00377721,-0.0130458,-2.31278
-0.0093986,-0.00279201,-0.996472,0.00377721,-0.0130458,-2.31278
-0.00893516,-0.00297588,-0.996377,0.00377721,-0.0130458,-2.31278
-0.00891942,-0.00261896,-0.996045,0.00377721,-0.0130458,-2.31278
-0.00899589,-0.00334909,-0.995928,0.00377721,-0.0130458,-2.31278
