Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
-0.0110362,-0.016031,-1.00029,0.0161057,-0.00613722,-1.06363
-0.00793973,-0.0179059,-0.999195,0.0161062,-0.00613594,-1.06362
-0.00998295,-0.018101,-0.998065,0.0161038,-0.00613612,-1.06362
-0.0110678,-0.0168552,-0.997276,0.0160944,-0.00613685,-1.06362
-0.0104898,-0.0188901,-0.992799,0.0160924,-0.00613789,-1.06362
-0.0110249,-0.0185384,-0.997108,0.0160989,-0.00613079,-1.06362
-0.0105737,-0.0176404,-0.998521,0.0160986,-0.00613073,-1.06361
-0.0109444,-0.0188512,-0.999999,0.0161003,-0.00613279,-1.06361
-0.0110749,-0.0200048,-1.00192,0.0160972,-0.00613463,-1.06361
-0.00873728,-0.0182462,-0.999692,0.0160923,-0.00613816,-1.06361
-0.0113784,-0.0177392,-0.997057,0.0160932,-0.00614213,-1.0636
-0.0140454,-0.0183861,-0.99844,0.0160963,-0.00614667,-1.06361
-0.0121879,-0.0164651,-1.0006,0.0160888,-0.00615295,-1.06361
-0.011222,-0.0182693,-0.998752,0.0160822,-0.00615519,-1.06361
-0.0119076,-0.0172821,-0.99905,0.0160821,-0.00615988,-1.06361
-0.0122257,-0.0169352,-0.998743,0.0160833,-0.00616702,-1.06361
-0.0126329,-0.0148205,-0.995346,0.0160838,-0.00617243,-1.06361
-0.0116238,-0.0149923,-0.996682,0.0160826,-0.00617995,-1.06361
-0.0119335,-0.0178131,-0.996226,0.0160793,-0.0061825,-1.06361
-0.0124163,-0.0169273,-0.996585,0.0160773,-0.00618945,-1.06362
-0.0107608,-0.0173977,-0.997525,0.0160767,-0.00618776,-1.06362
-0.0120932,-0.0167802,-0.996613,0.0160705,-0.00618269,-1.06362
-0.0123457,-0.0194375,-0.99895,0.0160707,-0.00618095,-1.06362
-0.0138048,-0.0181447,-0.99988,0.01607,-0.00617911,-1.06363
-0.0137286,-0.0175415,-1.00076,0.0160635,-0.00618179,-1.06363
-0.0131787,-0.017214,-0.998509,0.0160552,-0.00618859,-1.06362
-0.0130626,-0.0169786,-0.99808,0.0160544,-0.00619213,-1.06363
