Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
-0.00513913,-0.00202755,-0.999257,-0.00168338,-0.00408489,-2.28404
-0.00494237,-0.00209751,-0.998555,-0.00166702,-0.00409493,-2.28405
-0.00474818,-0.00191121,-0.99818,-0.00166702,-0.00409493,-2.28405
-0.00451536,-0.00177243,-0.997903,-0.00166702,-0.00409493,-2.28405
-0.00434678,-0.00175252,-0.998039,-0.00166702,-0.00409493,-2.28405
-0.00367428,-0.00147792,-0.997787,-0.00166702,-0.00409493,-2.28405
-0.00326541,-0.00148344,-0.997607,-0.0016442,-0.00405653,-2.28407
-0.00326177,-0.00121463,-0.997497,-0.0016442,-0.00405653,-2.28407
-0.00339266,-0.00157187,-0.997917,-0.0016442,-0.00405653,-2.28407
-0.00334409,-0.00162047,-0.997893,-0.0016442,-0.00405653,-2.28407
-0.00296519,-0.00146894,-0.997095,-0.0016442,-0.00405653,-2.28407
-0.00294833,-0.00175688,-0.996943,-0.00167806,-0.00403178,-2.28406
-0.00318202,-0.00174677,-0.997349,-0.00167806,-0.00403178,-2.28406
-0.00361305,-0.00172972,-0.997898,-0.00167806,-0.00403178,-2.28406
-0.00401636,-0.00201048,-0.998106,-0.00167806,-0.00403178,-2.28406
-0.00430755,-0.001732,-0.997595,-0.00167806,-0.00403178,-2.28406
-0.00474551,-0.00164088,-0.997348,-0.00167487,-0.00403604,-2.28409
-0.00487955,-0.00177165,-0.997551,-0.00167487,-0.00403604,-2.28409
-0.00535457,-0.00197141,-0.997692,-0.00167487,-0.00403604,-2.28409
-0.00503303,-0.00169179,-0.997506,-0.00167487,-0.00403604,-2.28409
-0.00457247,-0.00165463,-0.996636,-0.00167487,-0.00403604,-2.28409
-0.00386135,-0.00147664,-0.996461,-0.00166649,-0.00411205,-2.28411
-0.00366171,-0.00161175,-0.996639,-0.00166649,-0.00411205,-2.28411
-0.00345112,-0.0016338,-0.996652,-0.00166649,-0.00411205,-2.28411
-0.003769,-0.00172989,-0.997221,-0.00166649,-0.00411205,-2.28411
-0.0037564,-0.00196053,-0.997881,-0.00166649,-0.00411205,-2.28411
-0.00346428,-0.00180117,-0.997976,-0.00164828,-0.00412267,-2.28412
-0.00360999,-0.00199524,-0.998385,-0.00164828,-0.00412267,-2.28412
-0.00437751,-0.00197605,-0.99864,-0.00164828,-0.00412267,-2.28412
-0.00453356,-0.00185039,-0.998282,-0.00164828,-0.00412267,-2.28412
-0.004443,-0.00147762,-0.997829,-0.00164828,-0.00412267,-2.28412
-0.00421655,-0.00137568,-0.997955,-0.00161722,-0.00409191,-2.28415
-0.0040888,-0.0013208,-0.997595,-0.00161722,-0.00409191,-2.28415
-0.00432014,-0.00132615,-0.997304,-0.00161722,-0.00409191,-2.28415
-0.00420271,-0.00113797,-0.997156,-0.00161722,-0.00409191,-2.28415
-0.00428592,-0.000946017,-0.996832,-0.00161722,-0.00409191,-2.28415
-0.00408221,-0.000987911,-0.997321,-0.00157994,-0.0041122,-2.28414
-0.00438204,-0.00116737,-0.997727,-0.00157994,-0.0041122,-2.28414
