Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
0.00458023,-0.0272698,-0.997438,0.026102,0.00504436,-1.73147
0.00424551,-0.0271132,-0.997101,0.026102,0.00504436,-1.73147
0.00457131,-0.0266172,-0.997275,0.0260902,0.00505257,-1.73142
0.00470616,-0.0264792,-0.997022,0.0260902,0.00505257,-1.73142
0.00483568,-0.0257101,-0.996893,0.0260902,0.00505257,-1.73142
0.00467538,-0.0254223,-0.99636,0.0260902,0.00505257,-1.73142
0.00443895,-0.0251093,-0.996023,0.0260902,0.00505257,-1.73142
0.00458318,-0.0247336,-0.995801,0.0260429,0.00502555,-1.7314
0.00469882,-0.0246021,-0.995744,0.0260429,0.00502555,-1.7314
0.00469555,-0.0246544,-0.9954,0.0260429,0.00502555,-1.7314
0.00459203,-0.0250462,-0.995599,0.0260429,0.00502555,-1.7314
0.00426129,-0.0253424,-0.995817,0.0260429,0.00502555,-1.7314
0.00388286,-0.0252447,-0.996169,0.0259995,0.00499175,-1.73138
0.00356812,-0.0255153,-0.996445,0.0259995,0.00499175,-1.73138
0.0039416,-0.0256589,-0.996397,0.0259995,0.00499175,-1.73138
0.00458699,-0.0259861,-0.996545,0.0259995,0.00499175,-1.73138
0.00472932,-0.0261299,-0.996731,0.0259995,0.00499175,-1.73138
0.0049553,-0.026373,-0.996722,0.0259945,0.00499299,-1.73134
0.00504424,-0.0261169,-0.996885,0.0259945,0.00499299,-1.73134
0.00541107,-0.0262071,-0.997304,0.0259945,0.00499299,-1.73134
0.00591999,-0.0264872,-0.997367,0.0259945,0.00499299,-1.73134
0.00597749,-0.0266347,-0.997272,0.0259945,0.00499299,-1.73134
0.00561767,-0.0269907,-0.997243,0.0260596,0.00495584,-1.73128
0.00528885,-0.0272111,-0.996836,0.0260596,0.00495584,-1.73128
0.00526826,-0.0271973,-0.996598,0.0260596,0.00495584,-1.73128
0.00515528,-0.0269905,-0.996108,0.0260596,0.00495584,-1.73128
0.0053739,-0.0270863,-0.996123,0.0260596,0.00495584,-1.73128
0.0050415,-0.0271728,-0.996017,0.0260341,0.00495779,-1.73132
0.00486012,-0.027554,-0.996552,0.0260341,0.00495779,-1.73132
0.00456341,-0.0272638,-0.996412,0.0260341,0.00495779,-1.73132
0.00474737,-0.026857,-0.996821,0.0260341,0.00495779,-1.73132
0.00497132,-0.0267918,-0.99653,0.0260341,0.00495779,-1.73132
0.00505371,-0.0268575,-0.996434,0.0260554,0.00497676,-1.73135
0.00458732,-0.0268331,-0.996111,0.0260554,0.00497676,-1.73135
0.00411179,-0.0274439,-0.996084,0.0260554,0.00497676,-1.73135
0.00437327,-0.0274499,-0.996015,0.0260554,0.00497676,-1.73135
0.00452716,-0.0273358,-0.996633,0.0260554,0.00497676,-1.73135
0.00499531,-0.0280083,-0.997595,0.0260866,0.00496965,-1.73135
0.00513578,-0.0282694,-0.998381,0.0260866,0.00496965,-1.73135
0.00537497,-0.0281155,-0.998762,0.0260866,0.00496965,-1.73135
0.00588265,-0.0283293,-0.998939,0.0260866,0.00496965,-1.73135
0.00636554,-0.0279288,-0.998378,0.0260866,0.00496965,-1.73135
0.00625007,-0.027586,-0.997583,0.0260843,0.00490555,-1.73136
0.0058258,-0.0278138,-0.996526,0.0260843,0.00490555,-1.73136
0.00560663,-0.0279994,-0.995341,0.0260843,0.00490555,-1.73136
0.0051401,-0.0277061,-0.994088,0.0260843,0.00490555,-1.73136
0.0048562,-0.0279645,-0.993904,0.0260843,0.00490555,-1.73136
0.00461974,-0.0282079,-0.99437,0.0260599,0.00493378,-1.73134
0.00484287,-0.0286029,-0.995545,0.0260599,0.00493378,-1.73134
0.00490445,-0.0288306,-0.997282,0.0260599,0.00493378,-1.73134
0.00517773,-0.0285876,-0.999231,0.0260599,0.00493378,-1.73134
0.00590788,-0.0275789,-1.00034,0.0260599,0.00493378,-1.73134
0.0057199,-0.0274027,-1.00102,0.0259872,0.00503042,-1.73134
0.0054658,-0.0268915,-1.00088,0.0259872,0.00503042,-1.73134
0.004825,-0.0267782,-0.999787,0.0259872,0.00503042,-1.73134
0.00436645,-0.026317,-0.998088,0.0259872,0.00503042,-1.73134
0.00393316,-0.0261848,-0.996165,0.0259872,0.00503042,-1.73134
0.00380511,-0.0265159,-0.994269,0.0260596,0.00493067,-1.73132
0.00343967,-0.0267336,-0.992506,0.0260596,0.00493067,-1.73132
0.00349855,-0.0274933,-0.992557,0.0260596,0.00493067,-1.73132
0.0035683,-0.0276901,-0.993233,0.0260596,0.00493067,-1.73132
0.00380458,-0.0276504,-0.995357,0.0260596,0.00493067,-1.73132
0.00403327,-0.0277788,-0.997901,0.0260047,0.00498544,-1.73132
0.00442559,-0.0270531,-0.999708,0.0260047,0.00498544,-1.73132
0.00487005,-0.0268221,-1.00107,0.0260047,0.00498544,-1.73132
0.0049415,-0.0262942,-1.00145,0.0260047,0.00498544,-1.73132
0.00455096,-0.0260295,-1.00051,0.0260047,0.00498544,-1.73132
0.00382065,-0.0256345,-0.999022,0.0260618,0.00484905,-1.7313
0.00352308,-0.0257594,-0.996628,0.0260618,0.00484905,-1.7313
0.00335377,-0.0259809,-0.99427,0.0260618,0.00484905,-1.7313
0.00301525,-0.0261088,-0.992409,0.0260618,0.00484905,-1.7313
0.00263924,-0.0263633,-0.991893,0.0260618,0.00484905,-1.7313
0.00297417,-0.0263723,-0.99232,0.0260067,0.00485662,-1.73129
0.00363098,-0.0263317,-0.994033,0.0260067,0.00485662,-1.73129
0.00420584,-0.0263279,-0.996328,0.0260067,0.00485662,-1.73129
0.00486657,-0.0259504,-0.999047,0.0260067,0.00485662,-1.73129
0.00514171,-0.025758,-1.00082,0.0260067,0.00485662,-1.73129
0.00569457,-0.0253965,-1.00206,0.0260156,0.00492589,-1.73133
0.0059032,-0.0258279,-1.00204,0.0260156,0.00492589,-1.73133
0.0059926,-0.0260545,-1.00137,0.0260156,0.00492589,-1.73133
0.00585696,-0.0265368,-0.999904,0.0260156,0.00492589,-1.73133
0.00557274,-0.0270735,-0.998032,0.0260156,0.00492589,-1.73133
0.00525549,-0.0274516,-0.995713,0.0260536,0.00486106,-1.73132
0.00560287,-0.0275363,-0.994178,0.0260536,0.00486106,-1.73132
0.00588433,-0.02823,-0.994059,0.0260536,0.00486106,-1.73132
0.00595224,-0.0287222,-0.994682,0.0260536,0.00486106,-1.73132
0.00613717,-0.0285849,-0.995966,0.0260536,0.00486106,-1.73132
0.00626839,-0.028659,-0.997456,0.0259873,0.00494349,-1.73129
0.00639068,-0.028261,-0.998695,0.0259873,0.00494349,-1.73129
0.00687121,-0.0278343,-0.999939,0.0259873,0.00494349,-1.73129
0.00699933,-0.0277363,-1.00065,0.0259873,0.00494349,-1.73129
0.00669324,-0.0280782,-1.00028,0.0259873,0.00494349,-1.73129
0.00612516,-0.0279486,-0.999211,0.0260179,0.00491192,-1.73127
0.0058814,-0.0278602,-0.997644,0.0260179,0.00491192,-1.73127
0.00530059,-0.0280114,-0.996205,0.0260179,0.00491192,-1.73127
0.00476123,-0.0279983,-0.994814,0.0260179,0.00491192,-1.73127
0.00399115,-0.0280462,-0.994101,0.0260179,0.00491192,-1.73127
0.00334321,-0.0281123,-0.993931,0.0259717,0.00488197,-1.73128
0.00312776,-0.0281313,-0.994722,0.0259717,0.00488197,-1.73128
