Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
-0.0109734,-0.0175862,-0.998986,0.0165759,-0.00654938,-1.06462
-0.0101886,-0.0159373,-0.999678,0.0165769,-0.00654171,-1.06462
-0.0100419,-0.0172809,-0.996896,0.0165759,-0.00654435,-1.06461
-0.0104562,-0.0176609,-0.996339,0.0165783,-0.00654626,-1.06461
-0.0116197,-0.0168292,-0.998573,0.0165817,-0.00654218,-1.06461
-0.0140128,-0.0159611,-0.998077,0.016585,-0.00654233,-1.06461
-0.0127223,-0.0162497,-0.996155,0.0165872,-0.00653632,-1.06461
-0.0116868,-0.0167297,-0.999038,0.0165884,-0.00653856,-1.06461
-0.0126123,-0.0174653,-0.997235,0.0165903,-0.00654014,-1.06461
-0.0120634,-0.0192704,-0.999472,0.016592,-0.00654123,-1.0646
-0.0130987,-0.0169099,-1.00074,0.0165919,-0.00654237,-1.0646
-0.0115535,-0.0189285,-1.00175,0.0165904,-0.00654294,-1.06459
-0.0115155,-0.0214643,-1.00035,0.0165871,-0.00653892,-1.0646
-0.0116296,-0.0188667,-0.998071,0.0165881,-0.00653658,-1.0646
-0.0116709,-0.0174792,-0.997613,0.016583,-0.00653779,-1.06461
-0.010326,-0.0194596,-0.997397,0.016579,-0.00653508,-1.06461
-0.012456,-0.0196953,-0.997186,0.0165801,-0.00653538,-1.06461
-0.00935191,-0.02164,-0.99874,0.0165915,-0.00653423,-1.06462
-0.00968619,-0.0212235,-0.998197,0.0166012,-0.00653722,-1.06461
-0.0121937,-0.0179276,-0.997951,0.0166056,-0.00654139,-1.06461
-0.0108213,-0.0196397,-0.99674,0.0166056,-0.00654499,-1.0646
-0.00969421,-0.0179835,-0.997125,0.0166031,-0.00654159,-1.0646
-0.0115112,-0.015404,-0.995507,0.0166012,-0.00654456,-1.0646
-0.0129554,-0.018407,-1.00065,0.0166007,-0.00654456,-1.0646
-0.0153404,-0.0182524,-0.999429,0.0166047,-0.00654876,-1.0646
-0.0114732,-0.017616,-1.00049,0.0166029,-0.00655377,-1.0646
-0.0100198,-0.0166464,-1.00411,0.0165982,-0.00655458,-1.06459
-0.00914313,-0.0196832,-1.00318,0.0166138,-0.00655222,-1.0646
-0.011193,-0.0192709,-0.998315,0.0166132,-0.00655528,-1.0646
-0.0112689,-0.0161832,-0.995464,0.0166065,-0.00655441,-1.06461
-0.00961307,-0.0172968,-0.992716,0.0166019,-0.00654656,-1.06461
-0.011277,-0.0191127,-0.991482,0.0166017,-0.00654137,-1.0646
-0.0105095,-0.0170163,-0.991517,0.0166063,-0.00654212,-1.0646
-0.0127224,-0.01659,-0.992908,0.0166101,-0.00654526,-1.06461
-0.013551,-0.0174301,-0.992995,0.0166067,-0.00654522,-1.06461
-0.0141552,-0.0177862,-0.998145,0.0166015,-0.00654552,-1.0646
-0.0133135,-0.0174445,-1.00053,0.0166047,-0.00655104,-1.06459
-0.0114844,-0.0180535,-1.00177,0.0166045,-0.00655335,-1.06459
-0.0116251,-0.0212429,-1.00029,0.0166039,-0.0065565,-1.0646
-0.00995751,-0.0201696,-1.00095,0.0166024,-0.0065557,-1.0646
-0.0132378,-0.0189614,-1.00087,0.0166048,-0.00655548,-1.0646
-0.0128499,-0.0178537,-1.00232,0.0166042,-0.00655011,-1.0646
-0.0115597,-0.0174697,-0.997171,0.0166025,-0.00655097,-1.0646
-0.0119334,-0.0201176,-0.995772,0.0166018,-0.00655534,-1.06459
-0.011363,-0.0203847,-0.994921,0.016606,-0.00655719,-1.06459
-0.0143159,-0.0175088,-0.993257,0.0166074,-0.0065556,-1.0646
-0.0117116,-0.0186941,-0.994078,0.016607,-0.00655154,-1.0646
-0.0123727,-0.0182818,-0.996055,0.01661,-0.00655382,-1.06459
-0.01277,-0.0199736,-0.996496,0.0166092,-0.00655383,-1.06459
-0.011939,-0.0181919,-0.998029,0.0166109,-0.00655295,-1.06459
-0.0118898,-0.0206683,-1.00097,0.0166076,-0.00655584,-1.0646
-0.0131479,-0.0194255,-0.999437,0.0166097,-0.00655675,-1.0646
-0.0122469,-0.0194492,-1.0011,0.0166203,-0.00655603,-1.06459
-0.0109158,-0.0205382,-1.00153,0.0166295,-0.00655755,-1.06459
-0.00880092,-0.0170707,-0.998746,0.0166292,-0.00655701,-1.06459
-0.0107814,-0.0196845,-0.996698,0.0166298,-0.00655852,-1.06459
-0.0136848,-0.0206252,-0.995929,0.0166281,-0.00655889,-1.06459
-0.0134239,-0.0189299,-0.999203,0.0166257,-0.00655781,-1.06459
-0.014936,-0.0178689,-0.99858,0.0166294,-0.00655597,-1.06459
-0.0131247,-0.0204788,-0.998923,0.0166272,-0.00656146,-1.0646
-0.0125503,-0.0182447,-0.996733,0.016624,-0.00656412,-1.0646
-0.0122895,-0.0178699,-0.998596,0.0166227,-0.00656889,-1.06459
-0.012188,-0.0190103,-0.995921,0.0166184,-0.00656782,-1.06459
-0.0105594,-0.0207902,-0.997493,0.0166215,-0.00656056,-1.06459
-0.00916387,-0.0202739,-0.99821,0.016626,-0.00655696,-1.06459
-0.00927215,-0.0189163,-0.998731,0.0166258,-0.00655021,-1.06459
-0.0111672,-0.0188613,-0.998113,0.0166247,-0.00653977,-1.06459
-0.0115431,-0.0183197,-0.999734,0.0166258,-0.00653513,-1.06459
-0.00946533,-0.020474,-0.999313,0.016621,-0.00653145,-1.06459
-0.0101921,-0.0210755,-0.999491,0.0166244,-0.00653206,-1.06459
-0.0085579,-0.0191505,-0.999725,0.0166245,-0.00652916,-1.06458
-0.0111262,-0.0178868,-0.999007,0.0166204,-0.00652766,-1.06458
-0.0111082,-0.0174239,-0.997221,0.0166177,-0.00653024,-1.06457
-0.0108581,-0.0186663,-0.999934,0.0166129,-0.00652783,-1.06457
-0.010229,-0.0170751,-0.999705,0.016607,-0.00652575,-1.06457
-0.0123245,-0.0180057,-0.998498,0.0165975,-0.00652718,-1.06457
-0.0120953,-0.0171347,-0.99895,0.0165922,-0.0065283,-1.06457
-0.0108968,-0.017859,-0.997255,0.0165857,-0.00652937,-1.06457
-0.0117589,-0.0192487,-0.998578,0.0165845,-0.0065287,-1.06457
-0.00987848,-0.017884,-0.999591,0.0165772,-0.00652864,-1.06458
